,gen,ref_consol,fun_consol,fun_consol
1,A17,,non-N,
2,Acanthopleuribacteraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
3,Acetitomaculum,FAPROTAXv1.1,reductive_acetogenesis,
4,Acetivibrio,", FAPROTAXv1.1",cellulolysis,
5,Acetoanaerobium,FAPROTAXv1.1,reductive_acetogenesis,
6,Acetobacter,FAPROTAXv1.1,methanol_oxidation,plant_pathogen
7,Acetobacteraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"Fe, N, urea, pathogen"
8,Acetobacterium,FAPROTAXv1.1,aromatic_compound_degradation,reductive_acetogenesis                
9,Acetobacteroides,"{Su, X.-L., et al. (2014)}",Hydrogen-producing,
10,Acetogenic,,Acetogenesis,Acetogenic
11,Acetogenium,FAPROTAXv1.1,reductive_acetogenesis,
12,Acetohalobium,FAPROTAXv1.1,reductive_acetogenesis,
13,Acetonema,FAPROTAXv1.1,reductive_acetogenesis,
14,Acholeplasma,FAPROTAXv1.1,aerobic_chemoheterotrophy,
15,Achromobacter,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ arsenite_oxidation_detoxification dark_hydrogen_oxidation human_pathogens_all nitrate_denitrification nitrate_reduction nitrate_respiration       ,
16,Acidaminococcaceae,FAPROTAXv1.1,fermentation,
17,Acidaminococcus,FAPROTAXv1.1,fermentation,human_gut
18,Acidianus,FAPROTAXv1.1,aerobic_chemoheterotrophy,"H, Fe, S"
19,Acidibacter,"{Falagön, C. and D. B. Johnson (2014)}",Fe_reduction,Fe3
20,Acidicaldus,FAPROTAXv1.1,aerobic_chemoheterotrophy,"S, arsenite, Fe, methanol"
21,Acidiferrobacter,FAPROTAXv1.1,Fe_oxidation,
22,Acidimethylosilex,FAPROTAXv1.1,methanotroph,
23,Acidimicrobiaceae,FAPROTAXv1.1,Fe_oxidation,
24,Acidimicrobium,FAPROTAXv1.1,Fe_oxidation,
25,Acidiphilium,(Harrison 1981),aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
26,Acidiplasma,FAPROTAXv1.1,Fe_oxidation,
27,Acidisoma,FAPROTAXv1.1,aerobic_chemoheterotrophy,
28,Acidisphaera,"(Hairaishi et al., 2000)",aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
29,Aciditerrimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,Fe 
30,Acidithiobacillus,FAPROTAXv1.1,Fe_oxidation,S
31,Acidithiomicrobium,FAPROTAXv1.1,Fe_oxidation,S
32,Acidobacteria,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy         ,
33,Acidobacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
34,Acidobacteriales,FAPROTAXv1.1,aerobic_chemoheterotrophy,
35,Acidobacterium,"(Kishimoto et al., 1991) (Jones et al., 2008), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy xylanolysis             
36,Acidothermaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,cellulolysis
37,Acidothermus,"(Graf et al., 2014), FAPROTAXv1.1",nirK cellulolysis              ,
38,Acidovorax,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy cellulolysis dark_hydrogen_oxidation dark_iron_oxidation knallgas_bacteria nitrate_denitrification nitrate_respiration plant_pathogen       
