genus1 	Potential_function_simple	function_combined
A17 	non-N 	non-N
Acetivibrio 	Cellulolytic 	Cellulolytic
Acetobacteroides 	Hydrogen-producing 	Hydrogen-producing
Acetogenic 	Acetogenic 	Acetogenic
Achromobacter 	Denitrification-complete	nirK  norB  nosZ
Acidibacter 	Fe3 reduction 	Fe3 reduction
Acidobacteria 	 	C_fix   N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic
Acidobacterium 	non-N 	non-N
Acidothermus 	Denitrification-nirK	nirK
Acidovorax 	non-N 	non-N
Acinetobacter 	non-N 	non-N
Actinobacillus 	Denitrification-partial	nirK  norB
Actinobacteria 	 	C_fix   N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic
Actinobacteria_phylum_hgcI clade 	varied 	varied
Actinomyces 	Denitrification-partial	nirK  norB
Actinoplanes 	Denitrification-nirK	nirK
Actinosynnema 	Denitrification-nirK	nirK
Actinotalea 	Cellulolytic+ 	Cellulolytic+
ADurb.Bin063-1 	varied_archaea 	varied_archaea
Aequorivita 	Denitrification-partial	nirK   nosZ
Aerococcus 	non-N 	non-N
Aeroliceae WCHB1-05 	Cellulolytic 	Cellulolytic
Aerolinea 	Cellulolytic 	Cellulolytic
Aeromos 	non-N 	non-N
Aeromyxobacter 	Denitrification 	Denitrification
Aerospora 	non-N 	non-N
Aetherobacter 	non-N 	non-N
Afipia 	Denitrification-complete	nirK  norB  nosZ
Agrobacterium 	non-N 	non-N
Ajellomyces 	Denitrification-partial	nirK  norB
Akkermansia 	non-N 	non-N
Alcaligenes 	Denitrification-complete	nirK  norB  nosZ
Alcanivorax 	Denitrification-complete	nirK  norB  nosZ
Algorimari 	non-N 	non-N
Alicycliphilus 	Denitrification-complete	nirK nirS norB nosZ
Alicyclobacillus 	Denitrification 	Denitrification
Alkalilimnicola 	 	norB nosZ
Alkanibacter 	non-N 	non-N
Alkanindiges 	non-N 	non-N
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium 	N fixation 	N fixation
Alphaproteobacteria 	 	N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic
Altererythrobacter 	non-N 	non-N
Ambiguous_taxa 	unclassified 	unclassified
Aquabacterium 	Denitrification 	Denitrification
Aquicella 	non-N 	non-N
archaeon 	 	C_fix    S_cycle   H2_ox  H2_prod   aerobic
Arcobacter 	Denitrification 	Denitrification
Arenimos 	non-N 	non-N
Armatimodetes 	 	C_fix   N_cycle  S_cycle   H2_ox  H2_prod   aerobic
Aromatoleum 	Denitrification-complete	nirS norB  nosZ
Arthrobacter 	Nitrite oxidation 	Nitrite oxidation
Arthroderma 	Denitrification-partial	nirK  norB
Aspergillus 	Denitrification-partial	nirK  norB
