Genus	X 	C.Fixation 	N.fixation 	N.Cycling 	S.cycling 	Fe.Cycling 	H2.oxidation 	H2.production 	C1.oxidation 	O2.metabolism 	nirk_comb 	nirs_comb 	norB_comb 	nosZ_comb
A17 	non-N 													
Acetivibrio 	Cellulolytic 													
Acetobacteroides  	Hydrogen-producing 													
Acetogenic 	Acetogenic 													
Achromobacter 	Denitrification 										nirK 		norB 	nosZ
Acidibacter  	Fe3 reduction 													
Acidobacteria 		C_fix 		N_cycle 	S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 	C1_ox 	aerobic 				
Acidobacterium 	non-N 													
Acidothermus 														
Acidovorax 	Denitrification 										nirK 	nirS 	norB 	nosZ
Acinetobacter 	non-N 			N_cycle 	S_cycle 				C1_ox 	aerobic 				
Actinobacillus 	Denitrification 										nirK 		norB 	
Actinobacteria 		C_fix 		N_cycle 	S_cycle 		H2_ox 	H2_prod 	C1_ox 	aerobic 				
Actinobacteria_phylum_hgcI clade  	varied 													
Actinomyces 														
Actinoplanes 														
Actinosynnema 														
Actinotalea 	Cellulolytic+ 													
ADurb.Bin063-1  	varied_archaea 													
Aequorivita 														
Aeromonas 														
Aeromonas  	non-N 													
Aetherobacter 	non-N 													
Afipia 														
Agrobacterium 	Denitrification 										nirK 		norB 	
Ajellomyces 														
Akkermansia 	non-N 													
Alcaligenes 	Denitrification 										nirK 		norB 	nosZ
Alcanivorax 														
Algorimarina 	non-N 													
Alicycliphilus 	Denitrification 										nirK 	nirS 	norB 	nosZ
Alicyclobacillus 	Denitrification 				S_cycle 					aerobic 				
Alkalilimnicola 	Denitrification 												norB 	nosZ
Alkanibacter 	non-N 													
Alkanindiges  	non-N 													
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium  	N fixation  													
Alphaproteobacteria 				N_cycle 	S_cycle 		H2_ox 	H2_prod 	C1_ox 	aerobic 				
Altererythrobacter  	non-N 													
Ambiguous_taxa  	unclassified 													
Anaerococcus 	non-N 													
Anaerolinea 	Cellulolytic 									anaerobic 				
Anaeromyxobacter 	Denitrification 	C_fix 		N_cycle 	S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 	C1_ox 	aerobic 			norB 	nosZ
Anaerospora 	non-N 													
Aquabacterium 	Denitrification 													
Aquicella 	non-N 													
archaeon 		C_fix 			S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Arcobacter 	Denitrification 													
Arenimonas 	non-N 													
Armatimonadetes 		C_fix 		N_cycle 	S_cycle 		H2_ox 	H2_prod 		aerobic 				
Aromatoleum 														
Arthrobacter 	Nitrite oxidation 													
Arthroderma 														
Aspergillus 														
Atopobium 														
Aurantimicrobium  	non-N 													
Austwickia 														
Avibacterium 														
Azoarcus 	Denitrification 											nirS 	norB 	nosZ
Azospirillium 														
Azospirillum 	N fixation 													
Azovibrio 														
Bacillus 	Denitrification 										nirK 	nirS 	norB 	nosZ
Bacteriovorax 	non-N 													
Bacteroides 	non-N 													
Bacteroidetes 	N fixation 		N_fix 	N_cycle 	S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 	C1_ox 	aerobic 				
Bauldia  	non-N 													
Bdellovibrio 	Denitrification 										nirK 		norB 	
Bdellovibrionales 	N fixation 	C_fix 	N_fix 	N_cycle 	S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 	C1_ox 	aerobic 				
Belliella 														
Betaproteobacteria 		C_fix 		N_cycle 	S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 	C1_ox 	aerobic 				
Bifidobacterium 	non-N 													
Bizionia 														
Blastocatellaceae_family_JGI 0001001-H03  	varied 													
Blastococcus 														
Blautia 	Denitrification 													
Blvii28 	non-N 													
Bordetella 														
Bosea 	Thiosulfate oxidation 													
Brachybacterium 														
Bradyrhizobium 	Denitrification 										nirK 		norB 	nosZ
Brevundimonas 														
Brucella 	Denitrification 										nirK 		norB 	nosZ
Bryobacter  	non-N 													
Burkholderia 	non-N 													
Burkholderiales 	N fixation 	C_fix 	N_fix 	N_cycle 	S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 	C1_ox 	aerobic 				
Butyrivibrio 	Cellulolytic 													
C39 	non-N 													
Caldalkalibacillus 														
Caldanaerobacter 	Cellulolytic 													
Caldicellulosiruptor 	Cellulolytic 													
Caldilinea 														
Caldithrix 							H2_ox 	H2_prod 		aerobic 				
Caldivirga 														
Campylobacter 	Denitrification 												norB 	nosZ
candidate division CPR2 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
candidate division CPR3 										anaerobic 				
candidate division Kaza 										anaerobic 				
candidate division KSB1 							H2_ox 	H2_prod 		aerobic 				
candidate division NC10 				N_cycle 		Fe_Cycle 			C1_ox 	aerobic 				
candidate division TM6 										anaerobic 				
candidate division WOR-1 					S_cycle 		H2_ox 	H2_prod 	C1_ox 	anaerobic 				
candidate division WOR-3 							H2_ox 			anaerobic 				
candidate division WS6 					S_cycle 					anaerobic 				
candidate division WWE3 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
candidate division Zixibacteria 	N fixation 		N_fix 	N_cycle 	S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 		aerobic 				
Candidatus Abawacabacteria 										anaerobic 				
Candidatus Accumulibacter 														
Candidatus Accumulibacter  	Polyphosphate-accumulating 													
Candidatus Adlerbacteria 										aerobic 				
Candidatus Amesbacteria 					S_cycle 					anaerobic 				
Candidatus Aminicenantes 		C_fix 		N_cycle 	S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 		aerobic 				
Candidatus Andersenbacteria 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Atribacteria 								H2_prod 	C1_ox 	anaerobic 				
Candidatus Azambacteria 				N_cycle 	S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Babela 	non-N 													
Candidatus Bathyarchaeota 		C_fix 			S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 	C1_ox 	anaerobic 				
Candidatus Beckwithbacteria 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Berkelbacteria 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Blackburnbacteria 										anaerobic 				
Candidatus Brennerbacteria 										anaerobic 				
Candidatus Brocadia 	Anammox 													
Candidatus Buchananbacteria 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Campbellbacteria 					S_cycle 					anaerobic 				
Candidatus Chisholmbacteria 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Coatesbacteria 							H2_ox 			anaerobic 				
Candidatus Collierbacteria 	N fixation 	C_fix 	N_fix 		S_cycle 		H2_ox 	H2_prod 	C1_ox 	anaerobic 				
Candidatus Colwellbacteria 										anaerobic 				
Candidatus Curtissbacteria 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Dadabacteria 				N_cycle 	S_cycle 	Fe_Cycle 		H2_prod 		aerobic 				
Candidatus Daviesbacteria 	N fixation 		N_fix 							anaerobic 				
Candidatus Delongbacteria 								H2_prod 		anaerobic 				
Candidatus Diapherotrites_phylum 	varied_archaea 													
Candidatus Doudnabacteria 				N_cycle 						aerobic 				
Candidatus Edwardsbacteria 							H2_ox 	H2_prod 		anaerobic 				
Candidatus Eisenbacteria 				N_cycle 	S_cycle 	Fe_Cycle 		H2_prod 	C1_ox 	aerobic 				
Candidatus Falkowbacteria 		C_fix 			S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Firestonebacteria 					S_cycle 		H2_ox 	H2_prod 		anaerobic 				
Candidatus Fischerbacteria 					S_cycle 	Fe_Cycle 	H2_ox 	H2_prod 	C1_ox 	anaerobic 				
Candidatus Fraserbacteria 		C_fix 		N_cycle 	S_cycle 		H2_ox 	H2_prod 		aerobic 				
