,gen,fun_consol,ref_consol
1,A17,non-N,
2,Acanthopleuribacteraceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
3,Acetitomaculum,reductive_acetogenesis,FAPROTAXv1.1
4,Acetivibrio,"Cellulolytic, cellulolysis",", FAPROTAXv1.1"
5,Acetoanaerobium,reductive_acetogenesis,FAPROTAXv1.1
6,Acetobacter,methanol_oxidation plant_pathogen,FAPROTAXv1.1
7,Acetobacteraceae,aerobic_chemoheterotrophy human_pathogens_all iron_respiration nitrate_reduction  photoheterotrophy ureolysis,FAPROTAXv1.1
8,Acetobacterium,aromatic_compound_degradation reductive_acetogenesis,FAPROTAXv1.1
9,Acetobacteroides,Hydrogen-producing,"{Su, X.-L., et al. (2014)}"
10,Acetogenic,Acetogenic,
11,Acetogenium,reductive_acetogenesis,FAPROTAXv1.1
12,Acetohalobium,reductive_acetogenesis,FAPROTAXv1.1
13,Acetonema,reductive_acetogenesis,FAPROTAXv1.1
14,Acholeplasma,aerobic_chemoheterotrophy,FAPROTAXv1.1
15,Achromobacter,"nirK  norB  nosZ, arsenite_oxidation_detoxification dark_hydrogen_oxidation human_pathogens_all nitrate_denitrification nitrate_reduction  nitrate_respiration","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
16,Acidaminococcaceae,fermentation,FAPROTAXv1.1
17,Acidaminococcus,fermentation human_gut,FAPROTAXv1.1
18,Acidianus,aerobic_chemoheterotrophy dark_hydrogen_oxidation dark_iron_oxidation dark_sulfide_oxidation dark_sulfur_oxidation iron_respiration sulfur_respiration,FAPROTAXv1.1
19,Acidibacter,Fe3 reduction,"{Falagön, C. and D. B. Johnson (2014)}"
20,Acidicaldus,aerobic_chemoheterotrophy dark_sulfur_oxidation dissimilatory oxidation of arsenite for energy not photosynthesis iron_respiration methanol_oxidation,FAPROTAXv1.1
21,Acidiferrobacter,dark_iron_oxidation,FAPROTAXv1.1
22,Acidimethylosilex,methanotrophy,FAPROTAXv1.1
23,Acidimicrobiaceae,dark_iron_oxidation,FAPROTAXv1.1
24,Acidimicrobium,dark_iron_oxidation,FAPROTAXv1.1
25,Acidiphilium,aerobic_anoxygenic_phototrophy arsenate_detoxification dark_oxidation_of_sulfur_compounds dark_sulfur_oxidation dark_thiosulfate_oxidation iron_respiration nitrate_reduction  ureolysis,FAPROTAXv1.1
26,Acidiplasma,dark_iron_oxidation,FAPROTAXv1.1
27,Acidisoma,aerobic_chemoheterotrophy,FAPROTAXv1.1
