,gen,ref_consol,fun_consol,fun_consol,
2,Acanthopleuribacteraceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
3,Acetitomaculum,(Louca et al. 2016),reductive_acetogenesis,,
4,Acetivibrio,"(Louca et al., 2014)",cellulolysis,,
5,Acetoanaerobium,(Louca et al. 2016),reductive_acetogenesis,,
6,Acetobacter,(Louca et al. 2016),methanol_oxidation,plant_pathogen,
7,Acetobacteraceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"Fe, N, urea, pathogen",
8,Acetobacterium,(Louca et al. 2016),aromatic_compound_degradation,reductive_acetogenesis                ,
9,Acetobacteroides,(Su et al. 2014),Hydrogen-producing,,
11,Acetogenium,(Louca et al. 2016),reductive_acetogenesis,,
12,Acetohalobium,(Louca et al. 2016),reductive_acetogenesis,,
13,Acetonema,(Louca et al. 2016),reductive_acetogenesis,,
14,Acholeplasma,(Louca et al. 2016),aerobic_chemoheterotrophy,,
15,Achromobacter,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB nosZ arsenite_oxidation_detoxification dark_hydrogen_oxidation human_pathogens_all nitrate_denitrification nitrate_reduction nitrate_respiration       ,,
16,Acidaminococcaceae,(Louca et al. 2016),fermentation,,
17,Acidaminococcus,(Louca et al. 2016),fermentation,human_gut,
18,Acidianus,(Louca et al. 2016),aerobic_chemoheterotrophy,"H, Fe, S",
19,Acidibacter,(Falagán and Johnson 2014),Fe_reduction,Fe3,
20,Acidicaldus,(Louca et al. 2016),aerobic_chemoheterotrophy,"S, arsenite, Fe, methanol",
21,Acidiferrobacter,(Louca et al. 2016),Fe_oxidation,,
22,Acidimethylosilex,(Louca et al. 2016),methanotroph,,
23,Acidimicrobiaceae,(Louca et al. 2016),Fe_oxidation,,
24,Acidimicrobium,(Louca et al. 2016),Fe_oxidation,,
25,Acidiphilium,(Louca et al. 2016),aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy,
26,Acidiplasma,(Louca et al. 2016),Fe_oxidation,,
27,Acidisoma,(Louca et al. 2016),aerobic_chemoheterotrophy,,
28,Acidisphaera,(Louca et al. 2016),aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy,
29,Aciditerrimonas,(Louca et al. 2016),aerobic_chemoheterotrophy,Fe ,
30,Acidithiobacillus,(Louca et al. 2016),Fe_oxidation,S,
31,Acidithiomicrobium,(Louca et al. 2016),Fe_oxidation,S,
32,Acidobacteria,"(_Anantharaman et al., 2016; Louca et al., 2014)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy         ,,
33,Acidobacteriaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
34,Acidobacteriales,(Louca et al. 2016),aerobic_chemoheterotrophy,,
35,Acidobacterium,(Jones et al. 2008; Kishimoto et al. 1991; Louca et al. 2016),non-N,aerobic_chemoheterotrophy xylanolysis             ,
36,Acidothermaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,cellulolysis,
37,Acidothermus,"(Graf et al., 2014; Louca et al., 2014)",nirK cellulolysis              ,,
38,Acidovorax,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),non-N,aerobic_chemoheterotrophy cellulolysis dark_hydrogen_oxidation dark_iron_oxidation knallgas_bacteria nitrate_denitrification nitrate_respiration plant_pathogen       ,
39,Acinetobacter,(Louca et al. 2016; Zhao et al. 2010),non-N,aerobic_chemoheterotrophy aromatic_compound_degradation aromatic_hydrocarbon_degradation dark_sulfide_oxidation human_pathogens_all human_pathogens_nosocomia human_pathogens_pneumonia human_pathogens_septicemia manganese_oxidation nitrate_reduction plastic_degradation    ,
40,Acrocarpospora,(Louca et al. 2016),denitrification,,
41,Actinoallomurus,(Louca et al. 2016),aerobic_chemoheterotrophy,,
42,Actinobacillus,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB animal_parasites_or_symbionts fumarate_respiration nitrate_reduction ureolysis          ,,
43,Actinobacteria,"(_Anantharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod C1_ox aerobic           ,,
44,Actinobacteria_phylum_hgcI clade,,varied,,
45,Actinobaculum,(Louca et al. 2016),fermentation,,
46,Actinocatenispora,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
47,Actinocorallia,(Louca et al. 2016),denitrification,"urea, xylan",
48,Actinomadura,(Louca et al. 2016),denitrification,"urea, xylan",
49,Actinomyces,"(Graf et al., 2014; Louca et al., 2014)",nirK norB chitinolysis human_pathogens_all human_pathogens_septicemia nitrate_reduction          ,,
50,Actinomycetaceae,(Louca et al. 2016),fermentation,,
51,Actinoplanes,"(Graf et al., 2014; Louca et al., 2014)",nirK nitrate_reduction xylanolysis             ,,
52,Actinopolymorpha,(Louca et al. 2016),aerobic_chemoheterotrophy,"N, urea",
53,Actinopolyspora,(Louca et al. 2016),xylanolysis,,
54,Actinospicaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
55,Actinosynnema,"(Graf et al., 2014; Louca et al., 2014)",nirK nitrate_reduction              ,,
56,Actinotalea,(Louca et al. 2016; Yi et al. 2007),cellulolysis,"N, xylan",
57,ADurb.Bin063-1,(Louca et al. 2016),varied_archaea,,
58,Aequorivita,"(Graf et al., 2014)",nirK nosZ              ,,
59,Aeriscardovia,(Louca et al. 2016),fermentation,,
60,Aerobacter,(Louca et al. 2016),fermentation,,
61,Aerococcaceae,(Louca et al. 2016),fermentation,,
62,Aerococcus,(Louca et al. 2016),fermentation,,
63,Aeromicrobium,(Louca et al. 2016),cellulolysis,N ,
64,Aeromonadaceae,(Louca et al. 2016),fermentation,nitrate_reduction,
65,Aeromonas,(Graf et al. 2014a; Janda and Abbott 1998; Louca et al. 2016),non-N,animal_parasites_or_symbionts arsenate_detoxification chitinolysis DNRA fermentation human_pathogens_all human_pathogens_meningitis iron_respiration       ,
66,Aetherobacter,(Garcia et al. 2016),non-N,              ,
67,Afipia,"(Graf et al., 2014; Louca et al., 2014)",nirK norB nosZ nitrate_reduction            ,,
68,Agaricus,(Louca et al. 2016),cellulolysis,,
69,Agreia,(Louca et al. 2016),aerobic_chemoheterotrophy,,
